country,code
Австралия,AU
Австрия,AT
Азербайджан,AZ
Албания,AL
Алжир,DZ
Американское Самоа,AS
Ангилья,AI
Ангола,AO
Андорра,AD
Антарктида,AQ
Антигуа и Барбуда,AG
Аргентина,AR
Армения,AM
Аруба,AW
Афганистан,AF
Багамы,BS
Бангладеш,BD
Барбадос,BB
Бахрейн,BH
Беларусь,BY
Белиз,BZ
Бельгия,BE
Бенин,BJ
Бермуды,BM
Болгария,BG
Боливия,BO
Босния и Герцеговина,BA
Ботсвана,BW
Бразилия,BR
Британская Территория в Индийском Океане,IO
Бруней-Даруссалам,BN
Буркина-Фасо,BF
Бурунди,BI
Бутан,BT
Вануату,VU
Ватикан,VA
Венгрия,HU
Венесуэла,VE
"Виргинские острова, Британские",VG
"Виргинские острова, США",VI
Вьетнам,VN
Габон,GA
Гаити,HT
Гайана,GY
Гамбия,GM
Гана,GH
Гваделупа,GP
Гватемала,GT
Гвинея,GN
Гвинея-Бисау,GW
Германия,DE
Гибралтар,GI
Гондурас,HN
Гонконг,HK
Гренада,GD
Гренландия,GL
Греция,GR
Грузия,GE
Гуам,GU
Дания,DK
Джибути,DJ
Доминика,DM
Доминиканская Республика,DO
Египет,EG
Замбия,ZM
Западная Сахара,EH
Зимбабве,ZW
Израиль,IL
Индия,IN
Индонезия,ID
Иордания,JO
Ирак,IQ
"Иран, Исламская Республика",IR
Ирландия,IE
Исландия,IS
Испания,ES
Италия,IT
Йемен,YE
Кабо-Верде,CV
Казахстан,KZ
Камбоджа,KH
Камерун,CM
Канада,CA
Катар,QA
Кения,KE
Кипр,CY
Киргизия,KG
Кирибати,KI
Китай,CN
Кокосовые (Килинг) острова,CC
Колумбия,CO
Коморы,KM
Конго,CG
"Конго, Демократическая Республика",CD
"Корея, Народно-Демократическая Республика",KP
"Корея, Республика",KR
Коста-Рика,CR
Кот Д'Ивуар,CI
Куба,CU
Кувейт,KW
Лаосская Народно-Демократическая Республика,LA
Латвия,LV
Лесото,LS
Либерия,LR
Ливан,LB
Ливийская Арабская Джамахирия,LY
Литва,LT
Лихтенштейн,LI
Люксембург,LU
Маврикий,MU
Мавритания,MR
Мадагаскар,MG
Майотта,YT
"Македония, бывшая Югославская Республика",MK
Малави,MW
Малайзия,MY
Мали,ML
Мальдивы,MV
Мальта,MT
Марокко,MA
Мартиника,MQ
Маршалловы острова,MH
Мексика,MX
"Микронезия, Федеративные Штаты",FM
Мозамбик,MZ
"Молдова, Республика",MD
Монако,MC
Монголия,MN
Монтсеррат,MS
Мьянма,MM
Намибия,NA
Науру,NR
Непал,NP
Нигер,NE
Нигерия,NG
Нидерландские Антилы,AN
Нидерланды,NL
Никарагуа,NI
Ниуэ,NU
Новая Зеландия,NZ
Новая Каледония,NC
Норвегия,NO
Объединенные Арабские Эмираты,AE
Оман,OM
Остров Буве,BV
Остров Норфолк,NF
Остров Рождества,CX
Остров Херд и острова Макдональд,HM
Острова Кайман,KY
Острова Кука,CK
Острова Теркс и Кайкос,TC
Пакистан,PK
Палау,PW
Панама,PA
Папуа-Новая Гвинея,PG
Парагвай,PY
Перу,PE
Питкерн,PN
Польша,PL
Португалия,PT
Пуэрто-Рико,PR
Реюньон,RE
Россия,RU
Руанда,RW
Румыния,RO
Сальвадор,SV
Самоа,WS
Сан-Марино,SM
Сан-Томе и Принсипи,ST
Саудовская Аравия,SA
Свазиленд,SZ
Святая Елена,SH
Северные Марианские острова,MP
Сейшелы,SC
Сен-Пьер и Микелон,PM
Сенегал,SN
Сент-Винсент и Гренадины,VC
Сент-Китс и Невис,KN
Сент-Люсия,LC
Сербия и Черногория,CS
Сингапур,SG
Сирийская Арабская Республика,SY
Словакия,SK
Словения,SI
Соединенное Королевство,GB
Соединенные Штаты,US
Соломоновы острова,SB
Сомали,SO
Судан,SD
Суринам,SR
Сьерра-Леоне,SL
Таджикистан,TJ
Таиланд,TH
"Танзания, Объединенная Республика",TZ
Тимор-Лесте,TL
Того,TG
Токелау,TK
Тонга,TO
Тринидад и Тобаго,TT
Тувалу,TV
Тунис,TN
Туркмения,TM
Турция,TR
Уганда,UG
Узбекистан,UZ
Украина,UA
Уоллис и Футуна,WF
Уругвай,UY
Фарерские острова,FO
Фиджи,FJ
Филиппины,PH
Финляндия,FI
Фолклендские острова (Мальвинские),FK
Франция,FR
Французская Гвиана,GF
Французская Полинезия,PF
Французские Южные Территории,TF
Хорватия,HR
Центрально-Африканская Республика,CF
Чад,TD
Чешская Республика,CZ
Чили,CL
Швейцария,CH
Швеция,SE
Шпицберген и Ян Майен,SJ
Шри-Ланка,LK
Эквадор,EC
Экваториальная Гвинея,GQ
Эритрея,ER
Эстония,EE
Эфиопия,ET
Южная Африка,ZA
Южная Джорджия и Южные Сандвичевы острова,GS
Ямайка,JM
Япония,JP
